iter	RMSE
0	3927.426447
1	3820.29165
2	3717.540059
3	3617.665236
4	3519.986088
5	3425.174118
6	3333.693135
7	3244.527438
8	3158.501506
9	3076.560974
10	2995.985375
11	2918.742805
12	2842.406515
13	2767.810285
14	2694.722662
15	2625.78426
16	2557.533454
17	2493.670929
18	2431.441926
19	2371.333305
20	2312.198547
21	2255.182094
22	2199.361997
23	2147.106212
24	2094.118481
25	2045.674745
26	1996.45108
27	1949.133215
28	1905.299086
29	1860.188344
30	1816.85048
31	1774.859397
32	1735.310969
33	1697.355621
34	1661.354228
35	1624.926418
36	1590.009106
37	1556.187153
38	1524.132738
39	1493.396282
40	1462.947282
41	1434.069312
42	1405.449703
43	1377.929773
44	1351.700068
45	1326.756608
46	1302.758013
47	1280.105301
48	1257.426673
49	1235.725859
50	1214.69831
51	1194.069172
52	1174.785706
53	1156.051943
54	1138.156439
55	1120.881899
56	1104.564864
57	1088.627952
58	1072.751792
59	1058.009941
60	1044.271431
61	1030.73063
62	1017.532633
63	1004.270223
64	991.4153993
65	979.9941861
66	968.8957418
67	958.0085392
68	947.1892182
69	937.2951732
70	926.6629421
71	916.52236
72	907.7131625
73	899.1727296
74	889.8613608
75	881.2302547
76	872.5880712
77	865.4626993
78	857.9461113
79	850.3676658
80	843.163178
81	836.0624885
82	829.1308538
83	822.8462156
84	816.742877
85	810.6794865
86	804.8878688
87	799.4270951
88	794.3395673
89	788.9518905
90	783.9574826
91	779.0628494
92	773.9776225
93	769.6692658
94	765.1504035
95	760.7392334
96	756.4747582
97	752.837593
98	748.9222839
99	745.0887317
100	741.7519683
101	738.1177432
102	734.4787377
103	730.8263536
104	727.770325
105	725.1745694
106	722.5577754
107	719.7661587
108	716.7314795
109	713.7825797
110	711.2322271
111	708.7087546
112	705.9452039
113	703.9274222
114	701.3455022
115	698.9432734
116	696.6723019
117	694.3523404
118	692.6059146
119	690.5714433
120	688.6785668
121	686.8599339
122	685.0454761
123	683.4292969
124	681.7829187
125	680.4749453
126	678.5078315
127	676.8304873
128	675.2664849
129	673.9623928
130	672.4779121
131	670.6841078
132	669.5437969
133	668.012475
134	666.527354
135	665.3259473
136	663.8925458
137	662.9167237
138	661.928448
139	661.0088316
