iter	Passed	Remaining
0	163	98129
1	181	54311
2	202	40287
3	217	32391
4	231	27569
5	247	24474
6	262	22225
7	275	20398
8	293	19247
9	307	18152
10	324	17363
11	339	16654
12	354	16007
13	371	15544
14	390	15237
15	406	14824
16	423	14534
17	442	14303
18	460	14096
19	475	13791
20	489	13500
21	503	13217
22	521	13072
23	537	12901
24	552	12710
25	568	12545
26	584	12399
27	600	12273
28	617	12148
29	634	12051
30	648	11908
31	665	11813
32	682	11724
33	699	11639
34	716	11566
35	732	11475
36	747	11368
37	764	11301
38	781	11236
39	800	11201
40	816	11126
41	831	11042
42	845	10956
43	862	10897
44	880	10863
45	897	10808
46	912	10736
47	928	10680
48	948	10665
49	967	10637
50	987	10633
51	1014	10687
52	1031	10642
53	1046	10578
54	1059	10502
55	1071	10409
56	1085	10338
57	1097	10256
58	1113	10206
59	1128	10156
60	1143	10103
61	1159	10061
62	1176	10029
63	1193	9994
64	1208	9949
65	1225	9912
66	1238	9856
67	1253	9807
68	1273	9803
69	1293	9790
70	1311	9769
71	1328	9740
72	1342	9691
73	1358	9652
74	1376	9637
75	1392	9602
76	1407	9558
77	1424	9532
78	1437	9481
79	1455	9459
80	1470	9425
81	1486	9391
82	1503	9367
83	1519	9331
84	1531	9277
85	1548	9253
86	1566	9234
87	1580	9198
88	1593	9151
89	1611	9133
90	1629	9115
91	1645	9087
92	1661	9060
93	1680	9043
94	1700	9037
95	1714	9003
96	1729	8968
97	1745	8942
98	1761	8911
99	1775	8877
100	1789	8843
101	1806	8821
102	1824	8805
103	1842	8784
104	1854	8743
105	1869	8712
106	1884	8680
107	1903	8673
108	1924	8668
109	1957	8720
110	1975	8703
111	1993	8687
112	2010	8666
113	2026	8640
114	2044	8622
115	2062	8604
116	2083	8600
117	2098	8573
118	2115	8550
119	2128	8515
120	2144	8491
121	2160	8466
122	2177	8446
123	2195	8428
124	2209	8396
125	2225	8373
126	2244	8359
127	2261	8339
128	2278	8319
129	2293	8293
130	2306	8258
131	2323	8237
132	2340	8219
133	2356	8193
134	2374	8177
135	2388	8149
136	2405	8129
137	2422	8108
138	2435	8078
139	2449	8047
140	2463	8020
141	2481	8004
142	2498	7985
143	2513	7959
144	2528	7935
145	2543	7909
146	2559	7887
147	2576	7868
148	2593	7849
149	2606	7819
150	2622	7799
151	2639	7780
152	2656	7759
153	2673	7741
154	2692	7731
155	2709	7711
156	2724	7688
157	2738	7659
158	2750	7628
159	2766	7607
160	2782	7588
161	2801	7575
162	2818	7556
163	2835	7537
164	2850	7516
165	2864	7488
166	2881	7471
167	2894	7442
168	2912	7427
169	2929	7408
170	2946	7391
171	2961	7369
172	2979	7354
173	2997	7338
174	3015	7323
175	3033	7307
176	3051	7292
177	3068	7274
178	3083	7251
179	3097	7228
180	3113	7206
181	3128	7186
182	3148	7174
183	3159	7143
184	3176	7125
185	3194	7110
186	3208	7085
187	3221	7060
188	3236	7037
189	3253	7020
190	3270	7003
191	3288	6987
192	3305	6970
193	3320	6948
194	3333	6922
195	3350	6906
196	3368	6890
197	3385	6873
198	3399	6849
199	3416	6833
200	3431	6812
201	3446	6790
202	3462	6771
203	3479	6754
204	3495	6735
205	3513	6719
206	3530	6702
207	3548	6688
208	3562	6664
209	3577	6643
210	3590	6618
211	3607	6602
212	3626	6588
213	3644	6574
214	3661	6556
215	3678	6539
216	3693	6518
217	3708	6498
218	3722	6475
219	3739	6459
220	3757	6444
221	3774	6426
222	3790	6407
223	3803	6384
224	3819	6366
225	3833	6343
226	3849	6325
227	3867	6310
228	3884	6292
229	3897	6270
230	3914	6252
231	3930	6234
232	3950	6221
233	3964	6201
234	3978	6179
235	3993	6159
236	4007	6138
237	4022	6117
238	4038	6100
239	4055	6082
240	4072	6065
241	4090	6050
242	4105	6031
243	4122	6015
244	4139	5997
245	4156	5981
246	4174	5965
247	4191	5949
248	4206	5930
249	4223	5913
250	4241	5897
251	4258	5880
252	4275	5864
253	4292	5847
254	4307	5827
255	4319	5804
256	4335	5786
257	4347	5763
258	4363	5744
259	4378	5725
260	4392	5705
261	4405	5683
262	4420	5664
263	4435	5644
264	4449	5624
265	4462	5603
266	4476	5583
267	4490	5562
268	4504	5542
269	4516	5519
270	4528	5497
271	4543	5478
272	4557	5458
273	4573	5441
274	4587	5421
275	4602	5402
276	4618	5384
277	4634	5368
278	4650	5350
279	4667	5334
280	4683	5317
281	4700	5300
282	4716	5283
283	4738	5272
284	4757	5257
285	4774	5242
286	4788	5222
287	4805	5206
288	4825	5192
289	4839	5173
290	4854	5154
291	4873	5140
292	4889	5123
293	4905	5106
294	4923	5090
295	4945	5078
296	4959	5059
297	4973	5040
298	4986	5020
299	5000	5000
300	5014	4980
301	5034	4967
302	5049	4949
303	5065	4932
304	5078	4911
305	5093	4894
306	5111	4878
307	5128	4861
308	5143	4843
309	5159	4826
310	5175	4809
311	5193	4794
312	5206	4774
313	5222	4756
314	5243	4744
315	5257	4725
316	5273	4707
317	5290	4691
318	5305	4673
319	5323	4658
320	5342	4643
321	5358	4626
322	5372	4607
323	5390	4592
324	5407	4575
325	5421	4556
326	5443	4544
327	5460	4528
328	5478	4512
329	5496	4497
330	5519	4485
331	5539	4471
332	5557	4456
333	5574	4439
334	5593	4424
335	5610	4408
336	5629	4392
337	5645	4375
338	5661	4359
339	5678	4342
340	5695	4326
341	5715	4311
342	5730	4293
343	5747	4276
344	5764	4260
345	5784	4246
346	5801	4229
347	5821	4215
348	5840	4200
349	5858	4184
350	5875	4168
351	5892	4151
352	5906	4132
353	5923	4116
354	5937	4097
355	5956	4082
356	5977	4068
357	5993	4051
358	6012	4036
359	6029	4019
360	6047	4003
361	6066	3988
362	6084	3972
363	6103	3957
364	6125	3943
365	6141	3926
366	6159	3910
367	6176	3894
368	6199	3880
369	6217	3865
370	6236	3849
371	6253	3832
372	6276	3819
373	6295	3804
374	6312	3787
375	6330	3771
376	6350	3756
377	6374	3743
378	6397	3730
379	6416	3714
380	6435	3699
381	6458	3685
382	6476	3669
383	6494	3653
384	6517	3639
385	6537	3624
386	6556	3608
387	6578	3594
388	6599	3579
389	6623	3566
390	6650	3554
391	6668	3538
392	6685	3521
393	6702	3504
394	6717	3486
395	6734	3469
396	6753	3453
397	6771	3436
398	6789	3420
399	6806	3403
400	6823	3386
401	6837	3367
402	6858	3352
403	6877	3336
404	6897	3321
405	6915	3304
406	6935	3288
407	6953	3272
408	6974	3257
409	6992	3240
410	7013	3225
411	7031	3208
412	7050	3192
413	7069	3175
414	7088	3159
415	7108	3144
416	7126	3127
417	7150	3113
418	7167	3096
419	7187	3080
420	7205	3063
421	7222	3046
422	7241	3030
423	7257	3012
424	7273	2994
425	7289	2977
426	7303	2958
427	7319	2941
428	7339	2925
429	7352	2906
430	7366	2888
431	7381	2870
432	7397	2852
433	7417	2836
434	7432	2819
435	7450	2802
436	7466	2785
437	7482	2767
438	7498	2750
439	7518	2733
440	7537	2717
441	7553	2699
442	7567	2682
443	7621	2677
444	7657	2667
445	7673	2649
446	7693	2633
447	7710	2616
448	7741	2603
449	7758	2586
450	7777	2569
451	7797	2553
452	7816	2536
453	7835	2519
454	7852	2502
455	7872	2486
456	7900	2472
457	7916	2454
458	7930	2436
459	7951	2420
460	7973	2404
461	7997	2388
462	8015	2371
463	8031	2354
464	8049	2336
465	8064	2319
466	8078	2300
467	8094	2283
468	8112	2266
469	8133	2249
470	8150	2232
471	8168	2215
472	8186	2198
473	8208	2182
474	8227	2165
475	8246	2148
476	8264	2131
477	8280	2113
478	8296	2095
479	8313	2078
480	8330	2061
481	8348	2043
482	8367	2026
483	8384	2009
484	8408	1993
485	8432	1978
486	8454	1961
487	8476	1945
488	8495	1928
489	8512	1910
490	8533	1894
491	8552	1877
492	8570	1860
493	8590	1843
494	8604	1825
495	8619	1807
496	8641	1790
497	8662	1774
498	8683	1757
499	8704	1740
500	8724	1723
501	8744	1707
502	8764	1690
503	8783	1673
504	8802	1655
505	8821	1638
506	8841	1621
507	8858	1604
508	8874	1586
509	8892	1569
510	8912	1552
511	8934	1535
512	8951	1518
513	8966	1500
514	8982	1482
515	9000	1465
516	9019	1448
517	9034	1430
518	9049	1412
519	9065	1394
520	9083	1377
521	9101	1359
522	9121	1342
523	9138	1325
524	9157	1308
525	9178	1291
526	9196	1273
527	9217	1256
528	9236	1239
529	9255	1222
530	9274	1205
531	9291	1187
532	9308	1170
533	9328	1152
534	9345	1135
535	9364	1118
536	9385	1101
537	9401	1083
538	9418	1065
539	9434	1048
540	9453	1030
541	9470	1013
542	9485	995
543	9499	977
544	9517	960
545	9532	942
546	9552	925
547	9569	908
548	9585	890
549	9601	872
550	9616	855
551	9635	837
552	9657	820
553	9674	803
554	9695	786
555	9715	768
556	9733	751
557	9754	734
558	9771	716
559	9789	699
560	9810	682
561	9831	664
562	9850	647
563	9865	629
564	9881	612
565	9898	594
566	9915	577
567	9933	559
568	9949	542
569	9968	524
570	9986	507
571	10005	489
572	10022	472
573	10038	454
574	10055	437
575	10072	419
576	10089	402
577	10108	384
578	10124	367
579	10142	349
580	10158	332
581	10174	314
582	10194	297
583	10211	279
584	10227	262
585	10246	244
586	10265	227
587	10282	209
588	10297	192
589	10315	174
590	10337	157
591	10356	139
592	10371	122
593	10390	104
594	10412	87
595	10429	69
596	10449	52
597	10467	35
598	10489	17
599	10508	0
